N°vel;Categoria;Palavra;Letras;Similar 1;Similar 2;Similar 3
Dif°cil ; Objetos ; Hidrolisador ;11; Destilador ; Caldeira ; Reator
Muito dif°cil ; Objetos ; Hidrìmetro ;9; Medidor ; Contador ; Sensor
Muito dif°cil ; Objetos ; Hidrosc¢pio ;11; Medidor ; Sensor ; Pluvi¢grafo
Muito dif°cil ; Objetos ; Higrìmetro ;9; Sensor ; Barìmetro ; Termìmetro
Muito dif°cil ; Objetos ; Hiperscopio ;11; Mon¢culo ; Lupa ; Microsc¢pio
Muito dif°cil ; Objetos ; Hipocampo ;9; Escultura ; Figura ; Ornamento
Muito dif°cil ; Objetos ; Hiposc¢pio ;10; Lente ; Mon¢culo ; ‡ptico
Dif°cil ; Objetos ; Holofote ;8; Lanterna ; Spot ; Farol
Muito dif°cil ; Objetos ; Holografador ;12; Laser ; Scanner ; Projetor
Muito dif°cil ; Objetos ; Homogeneizador ;13; Triturador ; Misturador ; Processador
F†cil ; Objetos ; Impressora ;10; Scanner ; Plotter ; Copiadora
Muito dif°cil ; Objetos ; Incens†rio ;10; Tur°bulo ; Caixa ; Recipiente
Muito dif°cil ; Objetos ; Interferìmetro ;13; Laser ; Medidor ; Sensor
Dif°cil ; Objetos ; isocinÇtico ;11; foráa ; tens∆o ; aparelho
MÇdio ; Objetos ; Isolador ;8; Borracha ; Vedaá∆o ; Suporte
Dif°cil ; Objetos ; is¢topo ;7; †tomo ; part°cula ; n£cleo
Dif°cil ; Objetos ; Isqueiro ;7; F¢sforo ; Tocha ; Maáarico
F†cil ; Objetos ; Janela ;6; Porta ; Vitral ; Persiana
F†cil ; Objetos ; jarra ;5; vaso ; bule ; copo
F†cil ; Objetos ; Jarro ;5; Vaso ; Garrafa ; Taáa
MÇdio ; Objetos ; Jenipapo ;8; Madeira ; Casco ; Fibra
F†cil ; Objetos ; Jornal ;6; Revista ; Folheto ; Livro
MÇdio ; Objetos ; Jumelo ;6; Bin¢culo ; Luneta ; ‡culos
F†cil ; Objetos ; laáo ;4; corda ; fio ; n¢
Muito dif°cil ; Objetos ; Lacìnica ;7; Inscriá∆o ; Letreiro ; Marca
MÇdio ; Objetos ; Lacre ;5; Selo ; Tamp∆o ; Fecho
MÇdio ; Objetos ; Ladrilho ;8; Azulejo ; Piso ; Placa
MÇdio ; Objetos ; LÉmina ;6; Faca ; Navalha ; Serra
MÇdio ; Objetos ; laminado ;8; folha ; chapa ; camada
MÇdio ; Objetos ; LÉmpada ;7; Luz ; Lanterna ; Farol
MÇdio ; Objetos ; Lanterna ;8; Farol ; Holofote ; LÉmpada
F†cil ; Objetos ; L†pis ;5; Caneta ; Giz ; Marcador
MÇdio ; Objetos ; Lapiseira ;9; L†pis ; Caneta ; Giz
Dif°cil ; Objetos ; Laringosc¢pio ;13; Endosc¢pio ; Fibrosc¢pio ; Otosc¢pio
MÇdio ; Objetos ; Latrina ;7; Vaso ; Pia ; Torneira
F†cil ; Objetos ; lenáo ;5; pano ; tecido ; gaze
MÇdio ; Objetos ; Lente ;5; Vidro ; Cristal ; ‡tica
Dif°cil ; Objetos ; lit¢grafo ;9; pedra ; impress∆o ; arte
F†cil ; Objetos ; Livro ;5; Revista ; Caderno ; µlbum
F†cil ; Objetos ; Lixeira ;7; Cesto ; Balde ; Contàiner
MÇdio ; Objetos ; Lorigal ;7; Malha ; Armadura ; Tecido
F†cil ; Objetos ; Lousa ;5; Quadro ; Painel ; Tela
Dif°cil ; Objetos ; Lun†rio ;7; Almanaque ; Calend†rio ; T†bua
Dif°cil ; Objetos ; Luneta ;6; Bin¢culo ; Telesc¢pio ; Mon¢culo
F†cil ; Objetos ; Lupa ;4; ‡culos ; Lente ; Bin¢culo
F†cil ; Objetos ; Luva ;4; M∆o ; Dedal ; Protetor
Muito dif°cil ; Objetos ; Lux°metro ;9; Fotìmetro ; Medidor ; Sensor
F†cil ; Objetos ; Macaco ;6; Alicate ; Alavanca ; Suporte
MÇdio ; Objetos ; Maáarico ;8; Isqueiro ; Tocha ; F¢sforo
Muito dif°cil ; Objetos ; Magnetocalor°metro ;18; Espectrìmetro ; Detector ; Medidor
Muito dif°cil ; Objetos ; Magnetofìmetro ;14; Sensor ; Indutor ; Bobina
Muito dif°cil ; Objetos ; Magnetìmetro ;13; Sensor ; Bobina ; Medidor
Dif°cil ; Objetos ; magnetosc¢pio ;14; gravaá∆o ; fita ; leitura
MÇdio ; Objetos ; malhete ;7; martelo ; batida ; madeira
MÇdio ; Objetos ; malote ;6; bolsa ; saco ; pasta
F†cil ; Objetos ; Mamadeira ;9; Garrafa ; Copo ; Bico
Dif°cil ; Objetos ; Mancal ;6; Rolamento ; Bucha ; Engaste
Dif°cil ; Objetos ; Mandinga ;8; Amuleto ; Talism∆ ; Medalha
MÇdio ; Objetos ; Mandril ;7; Torno ; Pináa ; Garra
MÇdio ; Objetos ; Manete ;6; Alavanca ; Controle ; Haste
Muito dif°cil ; Objetos ; Mangual ;7; Porrete ; Corrente ; Maáa
MÇdio ; Objetos ; Manivela ;8; Alavanca ; Haste ; Barra
Dif°cil ; Objetos ; Manìmetro ;9; Barìmetro ; Medidor ; Sensor
MÇdio ; Objetos ; manopla ;7; proteá∆o ; luva ; metal
F†cil ; Objetos ; Mapa ;4; B£ssola ; Guia ; Carta
Dif°cil ; Objetos ; marionete ;9; boneco ; fantoche ; figura
MÇdio ; Objetos ; Martelo ;7; Chave ; Alicate ; Marreta
MÇdio ; Objetos ; mascote ;7; figura ; s°mbolo ; boneco
MÇdio ; Objetos ; mastro ;6; poste ; haste ; pilar
Dif°cil ; Objetos ; mataborr∆o ;11; papel ; tinta ; absorvente
MÇdio ; Objetos ; Medalha ;7; TrofÇu ; S°mbolo ; Emblema
F†cil ; Objetos ; Mesa ;4; Cadeira ; Banco ; Escrivaninha
Dif°cil ; Objetos ; Metronomo ;9; Rel¢gio ; Ritmo ; Pàndulo
Dif°cil ; Objetos ; Metrìnomo ;9; Rel¢gio ; Timer ; Contador
Dif°cil ; Objetos ; microbarìmetro ;14; press∆o ; ar ; instrumento
Muito dif°cil ; Objetos ; Microdensitìmetro ;16; Scanner ; Fotìmetro ; Sensor
Muito dif°cil ; Objetos ; Micromanipulador ;16; Pináa ; Sonda ; Ferramenta
Muito dif°cil ; Objetos ; Microtomo ;8; Cortador ; LÉmina ; Fatiador
Muito dif°cil ; Objetos ; Microtom¢grafo ;13; Scanner ; Sensor ; CÉmara
MÇdio ; Objetos ; mirante ;7; torre ; janela ; vista
MÇdio ; Objetos ; Mochila ;7; Bolsa ; Cartucheira ; Pasta
MÇdio ; Objetos ; Moeda ;5; CÇdula ; Ficha ; Medalha
MÇdio ; Objetos ; moega ;5; funil ; gr∆o ; recipiente
Dif°cil ; Objetos ; Moenda ;6; Prensa ; Amassador ; Triturador
Dif°cil ; Objetos ; Moinho ;6; Ventoinha ; HÇlice ; Catavento
F†cil ; Objetos ; Moldura ;7; Quadro ; Tela ; Porta-retrato
F†cil ; Objetos ; Molho ;5; Temperos ; Vinagre ; Azeite
MÇdio ; Objetos ; Molinete ;8; Carretilha ; Rolo ; Manivela
Dif°cil ; Objetos ; Mon¢culo ;8; ‡culos ; Lente ; Bin¢culo
MÇdio ; Objetos ; Mordente ;8; Garra ; Pináa ; Suporte
MÇdio ; Objetos ; Moringa ;7; Jarro ; Garrafa ; Vaso
Dif°cil ; Objetos ; Morsa ;5; Prensa ; Grampo ; Torno
MÇdio ; Objetos ; Morsete ;7; Presilha ; Trava ; Grampo
MÇdio ; Objetos ; mosquiteiro ;11; tela ; rede ; proteá∆o
F†cil ; Objetos ; Mouse ;5; Teclado ; Touchpad ; Controle
Dif°cil ; Objetos ; nad°metro ;9; Éngulo ; medidor ; c†lculo
Dif°cil ; Objetos ; narcisador ;10; frasco ; perfume ; borrifador
MÇdio ; Objetos ; narguilÇ ;8; vidro ; fumaáa ; tubo
Dif°cil ; Objetos ; Nebulizador ;11; Pulverizador ; Atomizador ; Vaporizador
Muito dif°cil ; Objetos ; Neutroniìmetro ;15; Sensor ; Detector ; Medidor
Dif°cil ; Objetos ; nicomede ;8; pergaminho ; papiro ; manuscrito
MÇdio ; Objetos ; ninho ;5; palha ; madeira ; abrigo
MÇdio ; Objetos ; novelo ;6; fio ; l∆ ; rolo
F†cil ; Objetos ; ‡culos ;6; Lupa ; Bin¢culo ; M†scara
MÇdio ; Objetos ; odalisco ;8; figura ; escultura ; arte
Dif°cil ; Objetos ; Od¢grafo ;8; Registrador ; Marcador ; Medidor
Muito dif°cil ; Objetos ; Odìmetro ;8; Veloc°metro ; Tacìmetro ; Marcador
Muito dif°cil ; Objetos ; Odorizador ;10; Aromatizador ; Purificador ; Umidificador
Dif°cil ; Objetos ; Orat¢rio ;8; Altar ; Nicho ; Santu†rio
Dif°cil ; Objetos ; Orif°cio ;8; Abertura ; Entrada ; Fenda
Muito dif°cil ; Objetos ; Oscilador ;8; Modulador ; Gerador ; Sinalizador
Muito dif°cil ; Objetos ; Oscilosc¢pio ;11; Mult°metro ; Analisador ; Medidor
Muito dif°cil ; Objetos ; Osmìmetro ;9; Sensor ; Medidor ; Indicador
Dif°cil ; Objetos ; otosc¢pio ;9; lente ; luz ; exame
F†cil ; Objetos ; p† ;1; cavar ; metal ; ferramenta
MÇdio ; Objetos ; Painel ;6; Tela ; Quadro ; Moldura
Muito dif°cil ; Objetos ; Palafita ;8; Estrutura ; Base ; Suporte
MÇdio ; Objetos ; Palheta ;7; Plectro ; Pua ; Ponteira
F†cil ; Objetos ; Palito ;6; F¢sforo ; Grampo ; Haste
MÇdio ; Objetos ; Panela ;6; Caáarola ; Tacho ; Chaleira
F†cil ; Objetos ; Pano ;4; Toalha ; Tecido ; Flanela
Dif°cil ; Objetos ; pantim ;6; ornamento ; peáa ; detalhe
Muito dif°cil ; Objetos ; Pant¢grafo ;10; RÇgua ; Compasso ; Transferidor
MÇdio ; Objetos ; Pantufa ;7; Chinelo ; Sapato ; Sand†lia
Muito dif°cil ; Objetos ; Panturrilha ;11; Estribo ; Suporte ; Aláa
MÇdio ; Objetos ; Parafuso ;8; Prego ; Rebite ; Porca
Dif°cil ; Objetos ; Parqu°metro ;11; Medidor ; Rel¢gio ; Painel
Dif°cil ; Objetos ; Passarela ;9; Ponte ; Plataforma ; Passagem
MÇdio ; Objetos ; Pastilha ;8; C†psula ; Comprimido ; Tablete
Dif°cil ; Objetos ; Pavio ;5; F¢sforo ; Estopim ; Vela
MÇdio ; Objetos ; peanha ;6; base ; suporte ; coluna
Dif°cil ; Objetos ; Pederneira ;10; Isqueiro ; Fa°sca ; Chispa
Dif°cil ; Objetos ; Pàndulo ;7; Rel¢gio ; Mecanismo ; Engrenagem
MÇdio ; Objetos ; Peneira ;7; Escorredor ; Coador ; Filtro
F†cil ; Objetos ; Pente ;5; Escova ; Grampo ; Presilha
Dif°cil ; Objetos ; Penteadeira ;11; M¢vel ; Mesa ; Espelho
MÇdio ; Objetos ; Perfume ;7; Essància ; Aroma ; Colìnia
MÇdio ; Objetos ; Pergaminho ;10; Manuscrito ; Carta ; Rolo
Muito dif°cil ; Objetos ; Perisc¢pio ;10; Lente ; ‡culos ; Bin¢culo
Dif°cil ; Objetos ; Picador ;7; Moedor ; Triturador ; Ralador
Muito dif°cil ; Objetos ; Piezìmetro ;10; Sensor ; Medidor ; Transdutor
MÇdio ; Objetos ; pilastra ;8; coluna ; suporte ; base
MÇdio ; Objetos ; pináa ;5; alicate ; ferramenta ; tenaz
F†cil ; Objetos ; Pincel ;6; Rolo ; Esponja ; Giz
MÇdio ; Objetos ; Pipa ;4; Papagaio ; Bal∆o ; Brinquedo
Muito dif°cil ; Objetos ; Pipetador ;9; Pipeta ; Bureta ; Ampola
Muito dif°cil ; Objetos ; Piroàmetro ;10; Termìmetro ; Termopar ; Medidor
Muito dif°cil ; Objetos ; Pirofotìmetro ;12; Fotìmetro ; Sensor ; Receptor
Muito dif°cil ; Objetos ; PirotÇcnico ;11; Artefato ; Fogo ; Explosivo
MÇdio ; Objetos ; Pistilo ;7; Pináa ; Agulha ; Ferramenta
F†cil ; Objetos ; Pistola ;7; Arco ; Flecha ; Estilingue
Dif°cil ; Objetos ; Plainadeira ;11; Lixadeira ; Politriz ; Desempenadeira
Dif°cil ; Objetos ; planet†rio ;10; globo ; modelo ; esfera
Dif°cil ; Objetos ; plan°metro ;10; medidor ; superf°cie ; †rea
Dif°cil ; Objetos ; planisfÇrio ;10; mapa ; globo ; chart
Muito dif°cil ; Objetos ; Plectro ;7; Palheta ; Pua ; Ponteira
MÇdio ; Objetos ; Plinto ;6; Base ; Suporte ; Peanha
Dif°cil ; Objetos ; Pl£vio ;6; Medidor ; RÇgua ; Sensor
Dif°cil ; Objetos ; Pluvi¢grafo ;11; Medidor ; Sensor ; Higrìmetro
Dif°cil ; Objetos ; Pluviìmetro ;11; Termìmetro ; Barìmetro ; Higrìmetro
MÇdio ; Objetos ; polaina ;7; roupa ; tecido ; proteá∆o
Muito dif°cil ; Objetos ; Polar°metro ;10; Fotìmetro ; Sensor ; Medidor
Dif°cil ; Objetos ; Pol°grafo ;9; Sensor ; Gravador ; Registrador
Dif°cil ; Objetos ; Polimento ;8; Lixa ; Esmeril ; Rebolo
Muito dif°cil ; Objetos ; Polimerizador ;13; Endurecedor ; Catalisador ; Selante
Dif°cil ; Objetos ; Politriz ;8; Lixadeira ; Ret°fica ; Esmeril
Muito dif°cil ; Objetos ; Politropo ;9; Difusor ; Venturi ; Modulador
MÇdio ; Objetos ; Poltrona ;8; Sof† ; Banco ; Cadeira
MÇdio ; Objetos ; porrete ;7; bast∆o ; vara ; clava
F†cil ; Objetos ; Porta ;5; Janela ; Port∆o ; Batente
F†cil ; Objetos ; Porta-retratro;12; Moldura ; Quadro ; Tela
MÇdio ; Objetos ; Port†til ;8; Notebook ; Tablet ; Console
Dif°cil ; Objetos ; P¢rtico ;7; Arco ; Estrutura ; Moldura
F†cil ; Objetos ; poste ;5; coluna ; haste ; suporte
F†cil ; Objetos ; pote ;4; frasco ; jarra ; recipiente
MÇdio ; Objetos ; Prancha ;7; T†bua ; Quadro ; Painel
MÇdio ; Objetos ; Prancheta ;9; Pasta ; Quadro ; Suporte
F†cil ; Objetos ; Prato ;5; Tigela ; Travessa ; Bandeja
Dif°cil ; Objetos ; Pregador ;8; Prendedor ; Gancho ; Braáadeira
F†cil ; Objetos ; Prego ;5; Parafuso ; Grampo ; Pino
Dif°cil ; Objetos ; Prendedor ;9; Grampo ; Presilha ; Clipe
Dif°cil ; Objetos ; Prensa ;6; Compactador ; Amassadeira ; Aplanador
MÇdio ; Objetos ; Prisma ;6; Vidro ; Cristal ; Lente
Dif°cil ; Objetos ; Prumo ;5; N°vel ; RÇgua ; Medidor
MÇdio ; Objetos ; Pua ;3; Broca ; Ponta ; Agulha
MÇdio ; Objetos ; Pulverizador ;12; Spray ; Atomizador ; Vaporizador
MÇdio ; Objetos ; puná∆o ;6; metal ; marca ; ferramenta
MÇdio ; Objetos ; Puxador ;7; Maáaneta ; Trinco ; Fecho
MÇdio ; Objetos ; Quadro ;6; Moldura ; Tela ; Fotografia
F†cil ; Objetos ; Quimono ;7; Roupa ; T£nica ; Traje
F†cil ; Objetos ; quina ;4; canto ; beira ; borda
Muito dif°cil ; Objetos ; Quir¢grafo ;10; Documento ; Registro ; Papel
MÇdio ; Objetos ; Rabicho ;7; Cabo ; Fio ; Extens∆o
MÇdio ; Objetos ; Radiador ;8; Ventoinha ; Trocador ; Compressor
F†cil ; Objetos ; R†dio ;5; Caixa ; Televisor ; Som
Dif°cil ; Objetos ; radiofarol ;10; sinal ; antena ; navegaá∆o
Muito dif°cil ; Objetos ; Radiìmetro ;9; Grav°metro ; Medidor ; Detector
Muito dif°cil ; Objetos ; Radiotelemetro ;13; Medidor ; Radar ; Sensor
Dif°cil ; Objetos ; Radiotransmissor ;15; R†dio ; Antena ; Receptor
Dif°cil ; Objetos ; Ralador ;7; Triturador ; Picador ; Moedor
Dif°cil ; Objetos ; Raspador ;8; LÉmina ; Esp†tula ; Rodo
MÇdio ; Objetos ; Reator ;6; Motor ; Gerador ; Turbina
MÇdio ; Objetos ; Rebite ;6; Parafuso ; Pino ; Porca
MÇdio ; Objetos ; Rebolo ;6; Lixador ; Politriz ; Esmeril
F†cil ; Objetos ; Recipiente ;10; Pote ; Jarro ; Frasco
MÇdio ; Objetos ; Redoma ;6; Vidro ; CampÉnula ; Tampa
MÇdio ; Objetos ; Refil ;5; Cartucho ; Carga ; Componente
Dif°cil ; Objetos ; refrat°metro ;12; luz ; prisma ; mediá∆o
Muito dif°cil ; Objetos ; Refratometria ;13; Dens°metro ; Analisador ; Espectrìmetro
Muito dif°cil ; Objetos ; Refratìmetro ;13; Dens°metro ; Polar°metro ; Medidor
F†cil ; Objetos ; Regador ;7; Mangueira ; Baldinho ; Pulverizador
MÇdio ; Objetos ; RÇgua ;5; Trena ; Compasso ; Esquadro
Dif°cil ; Objetos ; Relà ;4; Chave ; Fus°vel ; Contator
F†cil ; Objetos ; Rel¢gio ;7; Timer ; Despertador ; Cronìmetro
F†cil ; Objetos ; Repelente ;9; Creme ; Spray ; Pomada
Dif°cil ; Objetos ; Repuxo ;6; Fonte ; Jato ; Bica
MÇdio ; Objetos ; Reservat¢rio ;12; Caixa ; Tanque ; Dep¢sito
Dif°cil ; Objetos ; Resistor ;8; Capacitor ; Diodo ; Transistor
MÇdio ; Objetos ; Resma ;5; Papel ; Pacote ; Folha
Dif°cil ; Objetos ; Ressaltador ;11; Marcador ; Caneta ; Giz
MÇdio ; Objetos ; Retentor ;8; Vedaá∆o ; Anel ; Borracha
Dif°cil ; Objetos ; Ret°fica ;8; Politriz ; Lixadeira ; Torno
Dif°cil ; Objetos ; Retificador ;11; Transformador ; Inversor ; Conversor
MÇdio ; Objetos ; ripas ;5; t†bua ; madeira ; vara
F†cil ; Objetos ; roda ;4; pneu ; aro ; c°rculo
F†cil ; Objetos ; Rodo ;4; Vassoura ; Esfreg∆o ; Pano
MÇdio ; Objetos ; Roldana ;7; Polia ; Eixo ; Engrenagem
MÇdio ; Objetos ; roleta ;6; roda ; disco ; giro
MÇdio ; Objetos ; rolha ;5; tamp∆o ; vedaá∆o ; cortiáa
Dif°cil ; Objetos ; Ros†cea ;7; Ornamento ; Escultura ; Relevo
MÇdio ; Objetos ; Roseta ;6; Ornamento ; Enfeite ; Moldura
F†cil ; Objetos ; Sabonete ;8; Shampoo ; Condicionador ; Espuma
F†cil ; Objetos ; saco ;4; bolsa ; saco ; mala
F†cil ; Objetos ; Sacola ;6; Bolsa ; Mala ; Mochila
F†cil ; Objetos ; Sapato ;6; Tànis ; Tamanco ; Bota
Dif°cil ; Objetos ; Sarrilho ;8; Guincho ; Roldana ; Engrenagem
Dif°cil ; Objetos ; Seladora ;8; Lacradora ; Empacotadora ; Prensa
Muito dif°cil ; Objetos ; Sel°metro ;8; Medidor ; Escala ; RÇgua
F†cil ; Objetos ; Selo ;4; Etiqueta ; Adesivo ; Carimbo
Dif°cil ; Objetos ; seric°metro ;10; mediá∆o ; fio ; instrumento
MÇdio ; Objetos ; Seringa ;7; Agulha ; Ampola ; Tubo
MÇdio ; Objetos ; Serpentina ;10; Fita ; Enfeite ; Papel
Dif°cil ; Objetos ; Serrilhador ;11; Cortador ; Serra ; Lixador
MÇdio ; Objetos ; Serrote ;7; Serra ; Machado ; LÉmina
Muito dif°cil ; Objetos ; Sif∆o ;5; Tubo ; V†lvula ; Duto
F†cil ; Objetos ; Sino ;4; Campana ; Gongo ; Alarme
Muito dif°cil ; Objetos ; Sism¢grafo ;11; Acelerìmetro ; Sensor ; Placa
MÇdio ; Objetos ; Sonda ;5; Agulha ; Tubo ; Cateter
Dif°cil ; Objetos ; Soprador ;8; Ventilador ; Compressor ; Fole
MÇdio ; Objetos ; Suporte ;7; TripÇ ; Base ; Cavalete
F†cil ; Objetos ; t†bua ;5; madeira ; prancha ; corte
F†cil ; Objetos ; Tabuleiro ;9; Mesa ; Bandeja ; Prancha
MÇdio ; Objetos ; tacho ;5; panela ; pote ; metal
F†cil ; Objetos ; taco ;4; bast∆o ; vara ; apoio
Dif°cil ; Objetos ; Tafet† ;6; Tecido ; Seda ; Lona
MÇdio ; Objetos ; tal∆o ;5; papel ; bloco ; ficha
F†cil ; Objetos ; talha ;5; escultura ; entalhe ; corte
MÇdio ; Objetos ; Talher ;6; Faca ; Garfo ; Colher
MÇdio ; Objetos ; talho ;5; corte ; lasca ; madeira
MÇdio ; Objetos ; talude ;6; rampa ; parede ; inclinaá∆o
MÇdio ; Objetos ; tambor ;6; pele ; m£sica ; som
MÇdio ; Objetos ; Tamborim ;8; Pandeiro ; Agogì ; Surdo
F†cil ; Objetos ; tampa ;5; vedaá∆o ; rolha ; cobertura
MÇdio ; Objetos ; Tamp∆o ;6; Lacre ; Vedaá∆o ; Tampa
MÇdio ; Objetos ; Tampinha ;8; Rolha ; Tampa ; Lacre
MÇdio ; Objetos ; Tanque ;6; Reservat¢rio ; Caixa ; Recipiente
F†cil ; Objetos ; Tapete ;6; Manta ; Carpete ; Esteira
Muito dif°cil ; Objetos ; Taqu°grafo ;10; Esten¢grafo ; Registrador ; Escriba
Dif°cil ; Objetos ; Taqu°metro ;9; Marcador ; Tacìmetro ; Odìmetro
Dif°cil ; Objetos ; Tarraxa ;7; Cossinete ; Parafuso ; Porca
F†cil ; Objetos ; Tatuagem ;8; Desenho ; Marca ; Selo
Dif°cil ; Objetos ; tax°metro ;9; contador ; rel¢gio ; medidor
F†cil ; Objetos ; Teclado ;7; Mouse ; Monitor ; Impressora
MÇdio ; Objetos ; teia ;4; fio ; linha ; rede
Dif°cil ; Objetos ; telefÇrico ;10; cabo ; cabine ; transporte
F†cil ; Objetos ; Telefone ;8; Celular ; R†dio ; Interfone
MÇdio ; Objetos ; Telemetria ;11; Sensor ; Medidor ; Rastreador
Muito dif°cil ; Objetos ; Tensiìmetro ;11; Medidor ; Sensor ; Manìmetro
Muito dif°cil ; Objetos ; Teodolito ;9; N°vel ; RÇgua ; Laser
Muito dif°cil ; Objetos ; Termoanemìmetro ;15; Sensor ; Anemìmetro ; Medidor
Muito dif°cil ; Objetos ; Termocalibrador ;15; Regulador ; Medidor ; Sensor
Muito dif°cil ; Objetos ; Termociclador ;13; Incubadora ; Estufa ; Processador
Muito dif°cil ; Objetos ; Termogravador ;14; Registrador ; Sensor ; Medidor
Muito dif°cil ; Objetos ; Termìmetro ;10; Barìmetro ; Higrìmetro ; Medidor
Muito dif°cil ; Objetos ; Termopar ;8; Termìmetro ; Sensor ; Detector
Muito dif°cil ; Objetos ; Termorresistor ;13; Sensor ; Termìmetro ; Medidor
Dif°cil ; Objetos ; Termostato ;10; Regulador ; Medidor ; Sensor
MÇdio ; Objetos ; Tesoura ;7; Estilete ; Cortador ; Faca
F†cil ; Objetos ; Tijolo ;6; Pedra ; Bloco ; Concreto
MÇdio ; Objetos ; Timbre ;6; Sino ; Gongo ; Campainha
Dif°cil ; Objetos ; T°mpano ;7; Membrana ; Placa ; Disco
MÇdio ; Objetos ; Tinta ;5; Pincel ; Giz ; Spray
F†cil ; Objetos ; Toalha ;6; Pano ; Tecido ; Lenáol
F†cil ; Objetos ; Tocha ;5; Lanterna ; Luz ; Abajur
MÇdio ; Objetos ; Toldo ;5; Cobertura ; Lona ; Sombrite
MÇdio ; Objetos ; Tonel ;5; Barril ; Tacho ; Gal∆o
F†cil ; Objetos ; Torneira ;8; Registro ; Chuveiro ; V†lvula
MÇdio ; Objetos ; Torno ;5; Morsa ; Grampo ; Mandril
MÇdio ; Objetos ; torquàs ;7; ferramenta ; alicate ; tenaz
Muito dif°cil ; Objetos ; Torqu°metro ;11; Chave ; Catraca ; Ferramenta
MÇdio ; Objetos ; Torradeira ;10; Forno ; Chapa ; Sanduicheira
Muito dif°cil ; Objetos ; Torrefador ;10; Forno ; Estufa ; Aquecedor
Dif°cil ; Objetos ; Torsor ;6; Eixo ; Haste ; Braáo
Muito dif°cil ; Objetos ; Transceptor ;11; R†dio ; Antena ; Modem
Dif°cil ; Objetos ; transcoder ;10; sinal ; dado ; filtro
MÇdio ; Objetos ; Transformador ;13; Conversor ; Inversor ; Regulador
F†cil ; Objetos ; trapo ;5; pano ; tecido ; flanela
F†cil ; Objetos ; Traves ;6; Poste ; Barra ; Rede
F†cil ; Objetos ; travessa ;8; prato ; bandeja ; recipiente
Dif°cil ; Objetos ; Travesseiro ;11; Almofada ; Colch∆o ; Cobertor
MÇdio ; Objetos ; Trena ;5; RÇgua ; N°vel ; Medidor
MÇdio ; Objetos ; TriÉngulo ;9; Tamborim ; Agogì ; Pandeiro
MÇdio ; Objetos ; Tridente ;8; Lanáa ; Espada ; Machado
F†cil ; Objetos ; Trinco ;6; Fecho ; Cadeado ; Tranca
MÇdio ; Objetos ; TripÇ ;5; Suporte ; Base ; Cavalete
Dif°cil ; Objetos ; Tr°pode ;7; TripÇ ; Suporte ; Pedestal
MÇdio ; Objetos ; trompa ;6; metal ; som ; trompete
MÇdio ; Objetos ; Tubulaá∆o ;9; Cano ; Duto ; Conduto
Muito dif°cil ; Objetos ; Tubuladura ;9; Tubulaá∆o ; Duto ; Cano
Muito dif°cil ; Objetos ; Turbid°metro ;12; Sensor ; Refratìmetro ; Medidor
Dif°cil ; Objetos ; Tur°bulo ;8; Incens†rio ; Recipiente ; C†lice
MÇdio ; Objetos ; V†lvula ;7; Registro ; Torneira ; Trava
F†cil ; Objetos ; vara ;4; haste ; mastro ; bast∆o
F†cil ; Objetos ; Varal ;5; Corda ; Haste ; Suporte
Muito dif°cil ; Objetos ; Vasculho ;8; Vassoura ; Rodo ; Pano
F†cil ; Objetos ; Vaso ;4; Jarro ; Garrafa ; Copo
F†cil ; Objetos ; Vassoura ;8; Rodo ; Esfreg∆o ; Aspirador
MÇdio ; Objetos ; Vedaá∆o ;7; Retentor ; Anel ; Borracha
F†cil ; Objetos ; Vela ;4; Tocha ; LÉmpada ; F¢sforo
MÇdio ; Objetos ; Ventilador ;10; Abanador ; Ar-condicionado; Exaustor
MÇdio ; Objetos ; Verniz ;6; Tinta ; Selante ; Resina
Dif°cil ; Objetos ; Vibrador ;8; Compactador ; Batedor ; Compulsor
F†cil ; Objetos ; Vidro ;5; Cristal ; Acr°lico ; Pl†stico
F†cil ; Objetos ; Violino ;7; Guitarra ; Viola ; Banjo
Muito dif°cil ; Objetos ; Viscos°metro ;12; Reìmetro ; Medidor ; Analisador
Dif°cil ; Objetos ; Vitrais ;7; Janela ; Vidro ; Painel
MÇdio ; Objetos ; volante ;7; roda ; direá∆o ; guid∆o
Dif°cil ; Objetos ; xil¢grafo ;9; madeira ; entalhe ; gravaá∆o
MÇdio ; Objetos ; Z°per ;4; Bot∆o ; Fecho ; Presilha
F†cil;Verbos;abraáar;7;apertar;encostar;envolver
F†cil;Verbos;abrir;4;destrancar;escancarar;iniciar
F†cil;Verbos;aceitar;7;aprovar;receber;consentir
F†cil;Verbos;acelerar;8;apressar;adiantar;agilizar
F†cil;Verbos;acender;7;iluminar;prender;ligar
MÇdio;Verbos;adaptar;7;ajustar;alterar;modificar
F†cil;Verbos;afastar;7;desprender;retirar;soltar
F†cil;Verbos;agarrar;7;pegar;segurar;tomar
F†cil;Verbos;ajudar;6;auxiliar;suportar;assistir
F†cil;Verbos;ajustar;6;adaptar;modificar;alterar
F†cil;Verbos;alcanáar;9;atingir;conseguir;chegar
MÇdio;Verbos;analisar;8;examinar;avaliar;investigar
Dif°cil;Verbos;analizar;8;examinar;avaliar;investigar
F†cil;Verbos;andar;5;caminhar;passear;marchar
F†cil;Verbos;anotar;6;registrar;documentar;escrever
F†cil;Verbos;apagar;6;extinguir;desligar;remover
